ENTITY,Currency,Alphabetic Code,Numeric Code,Minor unit exp,Fund,"Minor unit exp, coerced",Minor unit denominator
MALI,CFA Franc BCEAO,XOF,952,0,,0,1
MALTA,Euro,EUR,978,2,,2,100
MARSHALL ISLANDS (THE),US Dollar,USD,840,2,,2,100
MARTINIQUE,Euro,EUR,978,2,,2,100
MAURITANIA,Ouguiya,MRU,929,fractional,,fractional,5
MAURITIUS,Mauritius Rupee,MUR,480,2,,2,100
MAYOTTE,Euro,EUR,978,2,,2,100
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA,965,continuous,,continuous,continuous
MEXICO,Mexican Peso,MXN,484,2,,2,100
MEXICO,Mexican Unidad de Inversion (UDI),MXV,979,2,TRUE,2,100
MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840,2,,2,100
MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL,498,2,,2,100
MONACO,Euro,EUR,978,2,,2,100
MONGOLIA,Tugrik,MNT,496,2,,2,100
MONTENEGRO,Euro,EUR,978,2,,2,100
MONTSERRAT,East Caribbean Dollar,XCD,951,2,,2,100
MOROCCO,Moroccan Dirham,MAD,504,2,,2,100
MOZAMBIQUE,Mozambique Metical,MZN,943,2,,2,100
MYANMAR,Kyat,MMK,104,2,,2,100
NAMIBIA,Namibia Dollar,NAD,516,2,,2,100
NAMIBIA,Rand,ZAR,710,2,,2,100
NAURU,Australian Dollar,AUD,036,2,,2,100
NEPAL,Nepalese Rupee,NPR,524,2,,2,100
NETHERLANDS (THE),Euro,EUR,978,2,,2,100
NEW CALEDONIA,CFP Franc,XPF,953,0,,0,1
NEW ZEALAND,New Zealand Dollar,NZD,554,2,,2,100
NICARAGUA,Cordoba Oro,NIO,558,2,,2,100
NIGER (THE),CFA Franc BCEAO,XOF,952,0,,0,1
NIGERIA,Naira,NGN,566,2,,2,100
NIUE,New Zealand Dollar,NZD,554,2,,2,100
NORFOLK ISLAND,Australian Dollar,AUD,036,2,,2,100
NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840,2,,2,100
NORWAY,Norwegian Krone,NOK,578,2,,2,100
OMAN,Rial Omani,OMR,512,3,,3,1000
PAKISTAN,Pakistan Rupee,PKR,586,2,,2,100
PALAU,US Dollar,USD,840,2,,2,100
"PALESTINE, STATE OF",No universal currency,,,,,,
PANAMA,Balboa,PAB,590,2,,2,100
PANAMA,US Dollar,USD,840,2,,2,100
PAPUA NEW GUINEA,Kina,PGK,598,2,,2,100
PARAGUAY,Guarani,PYG,600,0,,0,1
PERU,Sol,PEN,604,2,,2,100
PHILIPPINES (THE),Philippine Peso,PHP,608,2,,2,100
PITCAIRN,New Zealand Dollar,NZD,554,2,,2,100
POLAND,Zloty,PLN,985,2,,2,100
PORTUGAL,Euro,EUR,978,2,,2,100
PUERTO RICO,US Dollar,USD,840,2,,2,100
QATAR,Qatari Rial,QAR,634,2,,2,100
RÉUNION,Euro,EUR,978,2,,2,100
ROMANIA,Romanian Leu,RON,946,2,,2,100
RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643,2,,2,100
RWANDA,Rwanda Franc,RWF,646,0,,0,1
SAINT BARTHÉLEMY,Euro,EUR,978,2,,2,100
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound,SHP,654,2,,2,100
SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951,2,,2,100
SAINT LUCIA,East Caribbean Dollar,XCD,951,2,,2,100
SAINT MARTIN (FRENCH PART),Euro,EUR,978,2,,2,100
SAINT PIERRE AND MIQUELON,Euro,EUR,978,2,,2,100
SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951,2,,2,100
SAMOA,Tala,WST,882,2,,2,100
SAN MARINO,Euro,EUR,978,2,,2,100
